id,numVuelo,paisOrigen,paisDestino ,fechaSalida,horaSalida ,fechaLlegada,horaLlegada,avionRef,vacantes
2001,2001,Indonesia,Indonesia,3/6/2009,8:44,30/8/2020,12:08,022-38,62
2002,2002,Germany,Norway,2/7/2021,18:03,19/8/1986,9:17,702-90,72
2003,2003,Peru,China,2/2/1981,22:05,21/1/2004,17:18,660-17,37
2004,2004,Brazil,Honduras,27/7/1975,2:39,16/10/1972,22:25,748-98,41
2005,2005,Ecuador,Philippines,6/3/1987,14:50,27/2/2019,17:14,886-33,41
2006,2006,Russia,Venezuela,25/8/2003,17:26,24/10/1992,18:52,013-52,73
2007,2007,Russia,Japan,28/10/1982,20:53,27/3/1977,2:09,776-27,47
2008,2008,Peru,China,29/6/2014,17:27,15/5/2002,11:33,107-07,06
2009,2009,Philippines,Russia,1/10/2004,2:44,15/7/2002,0:09,084-44,33
2010,2010,China,South Africa,16/10/2001,3:51,7/12/2004,1:52,142-04,94
2011,2011,Russia,China,8/11/1978,16:09,13/11/2012,13:55,335-04,76
2012,2012,Indonesia,France,14/3/2016,15:53,26/3/1985,6:14,010-70,63
2013,2013,Thailand,China,20/5/2004,13:15,3/7/1980,22:50,112-67,12
2014,2014,Ukraine,China,12/2/1997,20:15,28/4/1984,19:24,077-73,89
2015,2015,United States,Indonesia,2/12/2005,15:15,14/3/2000,16:34,638-87,67
2016,2016,Peru,Indonesia,3/8/2003,6:35,7/6/2016,1:22,579-09,41
2017,2017,France,Norway,26/8/1984,6:51,1/10/2007,19:02,883-29,02
2018,2018,Colombia,South Africa,19/7/2009,0:51,22/4/2004,20:13,541-66,81
2019,2019,Philippines,China,12/8/1998,19:54,12/2/2017,0:37,655-85,91
2020,2020,Japan,Russia,6/6/2008,19:45,14/9/1984,4:21,992-93,17
2021,2021,Tajikistan,Niger,12/8/1995,1:42,20/4/1978,19:17,633-32,16
2022,2022,Portugal,China,22/11/1994,13:46,31/7/1998,13:23,621-56,20
2023,2023,China,Peru,19/11/1991,15:23,16/3/1981,13:08,541-53,42
2024,2024,Portugal,Costa Rica,29/4/1972,23:57,2/8/2018,14:40,361-34,19
2025,2025,Russia,Colombia,29/4/2018,2:29,13/9/1991,6:21,936-94,24
2026,2026,Luxembourg,Nigeria,6/3/1973,14:19,1/7/1977,18:34,796-09,94
2027,2027,Indonesia,Croatia,22/9/1981,2:46,8/6/2006,14:49,902-80,53
2028,2028,China,Russia,11/1/1976,21:38,11/5/2021,17:09,042-48,52
2029,2029,France,China,9/2/2007,13:26,25/4/1993,0:51,411-14,83
2030,2030,Brazil,Czech Republic,4/10/1997,14:21,15/2/2001,5:28,391-74,33
2031,2031,Indonesia,Russia,26/4/2009,16:38,15/3/2002,10:18,820-23,04
2032,2032,Guam,China,18/5/2014,2:28,14/6/1975,16:44,455-64,40
2033,2033,Russia,China,25/6/2004,9:42,6/2/2016,17:48,274-81,36
2034,2034,Indonesia,Indonesia,11/10/1996,8:30,25/4/1991,0:49,953-92,13
2035,2035,Indonesia,China,9/11/2020,19:28,1/11/2010,4:15,830-27,71
2036,2036,Thailand,China,25/7/2014,3:35,29/12/1973,15:11,629-25,08
2037,2037,Venezuela,France,19/4/1996,23:47,22/7/2009,21:01,508-92,67
2038,2038,Madagascar,Indonesia,19/2/1992,4:02,22/5/1996,15:45,929-98,10
2039,2039,Sierra Leone,France,24/10/1993,21:11,28/8/2017,8:48,669-92,01
2040,2040,China,North Korea,24/1/1973,20:00,2/4/1971,10:10,534-57,34
2041,2041,Japan,United States,23/11/2012,0:46,28/3/1990,21:51,729-93,57
2042,2042,Argentina,United States,11/4/2015,16:15,16/2/2010,10:12,550-85,97
2043,2043,Thailand,Japan,3/6/2009,2:58,6/5/1971,22:13,999-96,03
2044,2044,Indonesia,Czech Republic,2/9/1979,2:57,16/10/1998,10:12,905-14,88
2045,2045,China,Burkina Faso,28/9/1996,18:22,12/3/1978,12:54,099-25,04
2046,2046,Russia,Philippines,28/1/2004,3:10,12/4/1999,20:51,562-57,71
2047,2047,United States,China,28/1/1994,10:42,12/10/1987,22:13,168-14,56
2048,2048,Portugal,Poland,6/2/1992,1:13,1/10/2004,4:28,221-29,44
2049,2049,Philippines,Russia,25/10/2012,5:36,11/7/1972,12:54,779-69,28
2050,2050,Poland,Ukraine,13/7/1998,9:19,6/10/1977,7:08,454-75,67
2051,2051,China,China,17/8/1984,0:51,27/9/1980,23:21,676-47,08
2052,2052,Poland,China,15/2/1988,4:16,13/7/1989,10:42,153-39,69
2053,2053,Burkina Faso,Colombia,1/1/1998,2:09,15/6/2011,19:35,369-97,30
2054,2054,Brazil,China,19/8/1978,22:51,30/5/2017,9:43,390-37,61
2055,2055,Thailand,Mexico,20/5/2013,6:00,4/11/1982,6:11,094-38,78
2056,2056,China,Brazil,18/3/1975,3:02,8/2/1971,9:34,706-82,35
2057,2057,China,Luxembourg,28/1/2000,23:42,3/11/1993,13:47,361-92,25
2058,2058,China,Russia,16/10/1989,18:53,27/6/1985,19:55,886-07,45
2059,2059,Spain,China,23/4/2001,19:00,24/5/1992,6:14,467-59,53
2060,2060,Vietnam,Greece,30/10/1994,12:21,5/3/1985,23:13,592-11,17
2061,2061,Bahamas,China,24/8/2019,6:01,15/5/1994,18:17,059-99,80
2062,2062,Portugal,Indonesia,15/1/1983,5:10,2/3/2016,0:45,964-86,62
2063,2063,Japan,Japan,30/10/1992,2:12,13/2/2011,0:45,986-31,38
2064,2064,China,China,4/7/2003,19:23,22/5/1996,3:39,668-38,02
2065,2065,China,Brazil,17/9/1974,20:04,14/10/2012,3:06,081-62,14
2066,2066,Indonesia,Lithuania,29/4/2009,23:50,15/12/1970,16:30,753-14,53
2067,2067,China,China,7/2/2012,20:49,14/3/2017,22:27,916-94,92
2068,2068,Chad,Malaysia,4/1/2020,2:04,10/8/1992,15:12,016-47,19
2069,2069,Greece,China,23/10/1987,7:03,23/9/1974,23:09,846-25,85
2070,2070,United States,Philippines,22/2/1993,12:50,18/3/2017,0:24,052-68,86
2071,2071,Ukraine,Sweden,2/3/1989,12:40,18/9/2009,18:29,628-54,49
2072,2072,Australia,Indonesia,6/9/1971,5:11,13/9/1977,16:14,902-01,32
2073,2073,Greece,Nigeria,29/4/1986,7:42,22/8/1998,6:12,519-97,46
2074,2074,Armenia,Portugal,25/6/1975,16:50,1/9/1985,6:53,136-94,58
2075,2075,Bolivia,China,18/4/1985,22:23,27/1/1999,12:37,701-59,40
2076,2076,Indonesia,Dominican Republic,12/8/2012,8:26,26/7/1988,16:25,200-56,90
2077,2077,Philippines,Costa Rica,9/3/1977,10:19,18/8/1987,14:37,182-39,63
2078,2078,Japan,Philippines,9/3/1988,21:30,10/5/2020,11:03,332-32,50
2079,2079,China,United States,25/7/2007,14:48,2/5/1972,3:15,652-88,70
2080,2080,Turks and Caicos Islands,El Salvador,19/3/2018,19:41,10/9/2001,5:31,989-78,52
2081,2081,China,Indonesia,12/9/1992,6:53,23/3/2015,17:29,935-28,75
